date,home,away,market,selection,book,odds,fair_p,fair_odds,ev,stake,league,kickoff,FTHG,FTAG,PSCH,PSCD,PSCA,PC>2.5,PC<2.5,won,profit,profit_flat,close_odds,clv,ev_close
2026-09-26,Enskede,KIF Orebro,1x2,2,SB,1.3,0.8129338905131072,1.2301123272998504,0.0568140576670392,20.0,Sweden - Elitettan Women,14:00,,,10.54,5.6,1.189,1.463,2.45,,,,1.189,0.09335576114381827,0.056814057667039286
2026-09-26,Entite Manageoise,RUS Binche,1x2,2,SB,2.65,0.4104909231145236,2.4361074598499908,0.0878009462534876,13.30317367477086,Belgium - 2nd Amateur Division,17:30,,,2.51,3.65,2.21,1.4785,2.39,,,,2.21,0.19909502262443435,0.08780094625348767
2026-09-26,Escola Varsovia,Zaglebie Lubin,1x2,1,SB,2.77,0.4027253956138029,2.4830815510799296,0.1155493458502339,16.320529074891795,Poland - U19 League,19:00,,,2.25,3.69,2.45,1.4202,2.55,,,,2.25,0.23111111111111104,0.11554934585023391
2026-09-26,Fittja,Nacka,1x2,1,SB,3.5,0.2967550055380167,3.369783091567404,0.0386425193830584,3.864251938305841,Sweden - Division 2,15:00,,,2.98,4.0,1.9009,1.5263,2.32,,,,2.98,0.17449664429530198,0.038642519383058405
2026-09-26,Flamengo,Fluminense,1x2,X,SB,2.87,0.3794810022286348,2.6351780303286607,0.0891104763961818,11.913165293607198,Brazil - Carioca U20,16:00,,,2.3,2.37,3.73,1.9804,1.7407,,,,2.37,0.21097046413502119,0.08911047639618186
2026-09-26,Flota Swinoujscie,Unia Swarzedz,1x2,2,SB,2.7,0.4300421701964342,2.3253533474245582,0.1611138595303725,20.0,Poland - 3rd Liga,17:00,,,2.72,3.5,2.12,1.5155,2.3,,,,2.12,0.2735849056603774,0.1611138595303725
2026-09-26,GVVV Veenendaal,RKAV Volendam,1x2,1,SB,1.92,0.533340139539458,1.8749760722369504,0.0240130679157593,6.525290194499811,Netherlands - Tweede Divisie,15:30,,,1.7752,4.22,3.42,1.3745,2.87,,,,1.7752,0.08156827399729605,0.0240130679157593
2026-09-26,Gloucester City,Stafford Rangers,1x2,1,SB,2.22,0.4615469352133373,2.16662688820104,0.0246341961736089,5.047991019182163,England - FA Trophy,17:00,,,1.9901,3.63,2.89,1.4902,2.36,,,,1.9901,0.11552183307371511,0.024634196173608958
2026-09-26,Jiskra Domazlice,Dynamo Ceske Budejovice,1x2,1,SB,2.17,0.4720916543075242,2.118232743315119,0.0244388898473275,5.221985010112727,Czech Republic - 3. Liga,17:30,,,1.9709,4.03,2.85,1.3891,2.75,,,,1.9709,0.10101983865239217,0.02443888984732756
2026-09-26,Karkonosze Jelenia Gora,Goczalkowice Zdroj,1x2,1,SB,2.42,0.4464741363233897,2.239771396916217,0.080467409902603,14.166797518063916,Poland - 3rd Liga,18:00,,,2.05,3.29,3.0,1.6329,2.11,,,,2.05,0.18048780487804894,0.08046740990260304
